storm.id,storm.name,n.obs,storm.duration,storm.pdi,max.wind,storm.year,basin,sst,sst.norm,sst.class
AL091978,DEBRA,14,302400,1171551197.737037,50,1978,NATL,27.333328795620186,0.9892474823278098,low
AL101978,ELLA,27,583200,55089006116.37036,120,1978,NATL,27.333328795620186,0.9892474823278098,low
AL111978,UNNAMED,9,194400,446637811.4999999,30,1978,NATL,27.333328795620186,0.9892474823278098,low
AL121978,UNNAMED,33,712800,1861174682.8185182,30,1978,NATL,27.333328795620186,0.9892474823278098,low
AL131978,FLOSSIE,50,108e4,23846783102.72962,85,1978,NATL,27.333328795620186,0.9892474823278098,low
AL151978,HOPE,39,842400,8442373645.192592,55,1978,NATL,27.333328795620186,0.9892474823278098,low
AL161978,GRETA,26,561600,30645603122.229626,115,1978,NATL,27.333328795620186,0.9892474823278098,low
AL171978,UNNAMED,45,972e3,3059560909.5592585,30,1978,NATL,27.333328795620186,0.9892474823278098,low
AL191978,IRMA,14,302400,1924034819.2518513,45,1978,NATL,27.333328795620186,0.9892474823278098,low
AL201978,JULIET,16,345600,3245200493.7629623,45,1978,NATL,27.333328795620186,0.9892474823278098,low
AL211978,UNNAMED,18,388800,904303717.1111109,30,1978,NATL,27.333328795620186,0.9892474823278098,low
AL221978,UNNAMED,13,280800,462812349.5296296,25,1978,NATL,27.333328795620186,0.9892474823278098,low
AL231978,KENDRA,24,518400,7862295894.948147,70,1978,NATL,27.333328795620186,0.9892474823278098,low
AL241978,UNNAMED,9,194400,346282155.0888889,25,1978,NATL,27.333328795620186,0.9892474823278098,low
AL021979,ANA,19,410400,1806769418.5370367,50,1979,NATL,27.636616160693684,1.0002240547227852,high
AL031979,UNNAMED,21,453600,897686860.6444443,25,1979,NATL,27.636616160693684,1.0002240547227852,high
AL041979,BOB,29,626400,4402782772.292593,65,1979,NATL,27.636616160693684,1.0002240547227852,high
AL051979,UNNAMED,14,302400,843649199.4999998,30,1979,NATL,27.636616160693684,1.0002240547227852,high
AL061979,CLAUDETTE,57,1231200,3957247770.2037024,45,1979,NATL,27.636616160693684,1.0002240547227852,high
AL071979,UNNAMED,14,302400,776745428.559259,30,1979,NATL,27.636616160693684,1.0002240547227852,high
AL081979,UNNAMED,25,54e4,1695018064.8777773,30,1979,NATL,27.636616160693684,1.0002240547227852,high
AL091979,DAVID,55,1188e3,153484234997.66293,150,1979,NATL,27.636616160693684,1.0002240547227852,high
AL111979,FREDERIC,68,1468800,48031025885.25925,115,1979,NATL,27.636616160693684,1.0002240547227852,high
AL121979,ELENA,13,280800,1305358739.618518,35,1979,NATL,27.636616160693684,1.0002240547227852,high
AL131979,UNNAMED,21,453600,1265657600.8185182,30,1979,NATL,27.636616160693684,1.0002240547227852,high
AL141979,GLORIA,44,950400,38306084894.944435,85,1979,NATL,27.636616160693684,1.0002240547227852,high
AL151979,HENRI,39,842400,7784731633.033332,75,1979,NATL,27.636616160693684,1.0002240547227852,high
AL161979,UNNAMED,21,453600,1198753829.8777776,30,1979,NATL,27.636616160693684,1.0002240547227852,high
AL181979,UNNAMED,9,194400,2805547141.8666663,65,1979,NATL,27.636616160693684,1.0002240547227852,high
AL201979,UNNAMED,11,237600,627866158.0592592,30,1979,NATL,27.636616160693684,1.0002240547227852,high
AL031980,UNNAMED,17,367200,981500375.8888887,30,1980,NATL,27.72804292322515,1.003532970930098,high
AL041980,ALLEN,46,993600,202204149161.72958,165,1980,NATL,27.72804292322515,1.003532970930098,high
AL051980,UNNAMED,17,367200,1070827938.1888887,30,1980,NATL,27.72804292322515,1.003532970930098,high
AL061980,BONNIE,24,518400,18056298488.12222,85,1980,NATL,27.72804292322515,1.003532970930098,high
AL071980,CHARLEY,22,475200,8863279237.099998,70,1980,NATL,27.72804292322515,1.003532970930098,high
AL081980,UNNAMED,17,367200,970472281.7777776,30,1980,NATL,27.72804292322515,1.003532970930098,high
AL091980,GEORGES,32,691200,6650308352.137035,70,1980,NATL,27.72804292322515,1.003532970930098,high
AL101980,EARL,27,583200,12271695523.707407,65,1980,NATL,27.72804292322515,1.003532970930098,high
AL111980,DANIELLE,12,259200,1095089745.233333,50,1980,NATL,27.72804292322515,1.003532970930098,high
AL121980,FRANCES,61,1317600,92574600809.44814,100,1980,NATL,27.72804292322515,1.003532970930098,high
AL131980,HERMINE,23,496800,7062391468.755554,60,1980,NATL,27.72804292322515,1.003532970930098,high
AL141980,IVAN,45,972e3,47199875192.41851,90,1980,NATL,27.72804292322515,1.003532970930098,high
AL151980,UNNAMED,9,194400,346282155.0888889,25,1980,NATL,27.72804292322515,1.003532970930098,high
AL161980,JEANNE,35,756e3,13821142746.318516,85,1980,NATL,27.72804292322515,1.003532970930098,high
AL171980,UNNAMED,25,54e4,1527391034.3888886,30,1980,NATL,27.72804292322515,1.003532970930098,high
AL181980,KARL,13,280800,11001994288.38148,75,1980,NATL,27.72804292322515,1.003532970930098,high
AL011981,UNNAMED,5,108e3,274231940.2296296,30,1981,NATL,27.62524714597166,0.9998125874889768,low
AL021981,UNNAMED,10,216e3,356207439.7888889,25,1981,NATL,27.62524714597166,0.9998125874889768,low
AL031981,ARLENE,11,237600,1472250563.833333,50,1981,NATL,27.62524714597166,0.9998125874889768,low
AL061981,BRET,9,194400,3259537016.1074066,60,1981,NATL,27.62524714597166,0.9998125874889768,low
AL091981,CINDY,12,259200,2511832235.3740735,50,1981,NATL,27.62524714597166,0.9998125874889768,low
AL101981,DENNIS,60,1296e3,9601793939.407406,70,1981,NATL,27.62524714597166,0.9998125874889768,low
AL111981,UNNAMED,19,410400,981500375.8888887,30,1981,NATL,27.62524714597166,0.9998125874889768,low
AL131981,EMILY,47,1015200,29074099711.39629,80,1981,NATL,27.62524714597166,0.9998125874889768,low
AL141981,FLOYD,37,799200,32525893168.17407,100,1981,NATL,27.62524714597166,0.9998125874889768,low
AL151981,GERT,36,777600,21622416520.518513,90,1981,NATL,27.62524714597166,0.9998125874889768,low
AL161981,HARVEY,34,734400,42462941168.55926,115,1981,NATL,27.62524714597166,0.9998125874889768,low
AL181981,IRENE,48,1036800,57754496463.02592,105,1981,NATL,27.62524714597166,0.9998125874889768,low
AL191981,UNNAMED,36,777600,2501171744.3999996,30,1981,NATL,27.62524714597166,0.9998125874889768,low
AL201981,JOSE,15,324e3,2107836387.7703698,45,1981,NATL,27.62524714597166,0.9998125874889768,low
AL211981,KATRINA,20,432e3,7356106375.248147,75,1981,NATL,27.62524714597166,0.9998125874889768,low
AL221981,UNNAMED,20,432e3,10191796974.35185,60,1981,NATL,27.62524714597166,0.9998125874889768,low
AL011982,ALBERTO,17,367200,4031136000.7481475,75,1982,NATL,27.305510971272945,0.9882406999887426,low
AL021982,UNNAMED,12,259200,6030529463.092591,60,1982,NATL,27.305510971272945,0.9882406999887426,low
AL031982,BERYL,37,799200,9637083840.562962,60,1982,NATL,27.305510971272945,0.9882406999887426,low
AL041982,UNNAMED,15,324e3,945475268.459259,30,1982,NATL,27.305510971272945,0.9882406999887426,low
AL051982,CHRIS,16,345600,2466984652.6555552,55,1982,NATL,27.305510971272945,0.9882406999887426,low
AL061982,DEBBY,30,648e3,49546286016.125916,115,1982,NATL,27.305510971272945,0.9882406999887426,low
