storm.id,storm.name,n.obs,date.time,status,record.id,lat,long,wind,storm.year,basin
EP051986,ESTELLE,40,1986-07-26T00:00:00Z,Tropical depression,NA,18.4,-165.2,30,1986,EPAC
EP061986,FRANK,38,1986-07-26T00:00:00Z,Tropical depression,NA,12.5,-101.6,25,1986,EPAC
EP051986,ESTELLE,40,1986-07-26T06:00:00Z,Tropical depression,NA,18.6,-166.2,25,1986,EPAC
EP061986,FRANK,38,1986-07-26T06:00:00Z,Tropical depression,NA,12.8,-103,25,1986,EPAC
EP061986,FRANK,38,1986-07-26T12:00:00Z,Tropical depression,NA,13.1,-104.5,25,1986,EPAC
EP061986,FRANK,38,1986-07-26T18:00:00Z,Tropical depression,NA,13.4,-106,25,1986,EPAC
EP061986,FRANK,38,1986-07-27T00:00:00Z,Tropical depression,NA,13.7,-107.5,25,1986,EPAC
EP061986,FRANK,38,1986-07-27T06:00:00Z,Tropical depression,NA,13.9,-109,30,1986,EPAC
EP061986,FRANK,38,1986-07-27T12:00:00Z,Tropical depression,NA,13.9,-110.5,30,1986,EPAC
EP061986,FRANK,38,1986-07-27T18:00:00Z,Tropical depression,NA,14,-112,30,1986,EPAC
EP061986,FRANK,38,1986-07-28T00:00:00Z,Tropical depression,NA,14.1,-113.3,30,1986,EPAC
EP061986,FRANK,38,1986-07-28T06:00:00Z,Tropical storm,NA,14.1,-114.6,35,1986,EPAC
EP061986,FRANK,38,1986-07-28T12:00:00Z,Tropical storm,NA,14.1,-115.9,35,1986,EPAC
EP061986,FRANK,38,1986-07-28T18:00:00Z,Tropical storm,NA,14.2,-117.2,35,1986,EPAC
EP061986,FRANK,38,1986-07-29T00:00:00Z,Tropical storm,NA,14.3,-118.5,40,1986,EPAC
EP061986,FRANK,38,1986-07-29T06:00:00Z,Tropical storm,NA,14.5,-119.9,45,1986,EPAC
EP061986,FRANK,38,1986-07-29T12:00:00Z,Tropical storm,NA,14.8,-121.1,55,1986,EPAC
EP061986,FRANK,38,1986-07-29T18:00:00Z,Tropical storm,NA,15,-122.3,60,1986,EPAC
EP061986,FRANK,38,1986-07-30T00:00:00Z,Tropical storm,NA,15.4,-123.5,60,1986,EPAC
EP061986,FRANK,38,1986-07-30T06:00:00Z,Hurricane,NA,15.9,-124.8,65,1986,EPAC
EP061986,FRANK,38,1986-07-30T12:00:00Z,Hurricane,NA,16.5,-126.1,65,1986,EPAC
EP061986,FRANK,38,1986-07-30T18:00:00Z,Hurricane,NA,17,-127.6,65,1986,EPAC
EP061986,FRANK,38,1986-07-31T00:00:00Z,Hurricane,NA,17.3,-129.1,65,1986,EPAC
EP061986,FRANK,38,1986-07-31T06:00:00Z,Hurricane,NA,17.6,-130.4,65,1986,EPAC
EP061986,FRANK,38,1986-07-31T12:00:00Z,Hurricane,NA,17.8,-131.6,75,1986,EPAC
EP061986,FRANK,38,1986-07-31T18:00:00Z,Hurricane,NA,18.1,-132.8,75,1986,EPAC
EP061986,FRANK,38,1986-08-01T00:00:00Z,Hurricane,NA,18.5,-134.1,75,1986,EPAC
EP061986,FRANK,38,1986-08-01T06:00:00Z,Hurricane,NA,18.9,-135.3,65,1986,EPAC
EP061986,FRANK,38,1986-08-01T12:00:00Z,Hurricane,NA,19.3,-136.6,65,1986,EPAC
EP061986,FRANK,38,1986-08-01T18:00:00Z,Tropical storm,NA,19.7,-137.9,50,1986,EPAC
EP061986,FRANK,38,1986-08-02T00:00:00Z,Tropical depression,NA,20.2,-139.1,30,1986,EPAC
EP061986,FRANK,38,1986-08-02T06:00:00Z,Tropical depression,NA,21,-140.5,30,1986,EPAC
EP061986,FRANK,38,1986-08-02T12:00:00Z,Tropical depression,NA,21.5,-142,30,1986,EPAC
EP061986,FRANK,38,1986-08-02T18:00:00Z,Tropical depression,NA,22.1,-143.4,30,1986,EPAC
EP061986,FRANK,38,1986-08-03T00:00:00Z,Tropical depression,NA,22.8,-144.5,30,1986,EPAC
EP071986,GEORGETTE,8,1986-08-03T00:00:00Z,Tropical depression,NA,9,-133.3,30,1986,EPAC
EP071986,GEORGETTE,8,1986-08-03T06:00:00Z,Tropical depression,NA,9,-134.7,30,1986,EPAC
EP071986,GEORGETTE,8,1986-08-03T12:00:00Z,Tropical storm,NA,8.9,-136.5,35,1986,EPAC
EP071986,GEORGETTE,8,1986-08-03T18:00:00Z,Tropical depression,NA,8.9,-138.1,30,1986,EPAC
EP071986,GEORGETTE,8,1986-08-04T00:00:00Z,Tropical depression,NA,8.7,-140,30,1986,EPAC
EP071986,GEORGETTE,8,1986-08-04T06:00:00Z,Tropical depression,NA,8.7,-142.6,30,1986,EPAC
EP071986,GEORGETTE,8,1986-08-04T12:00:00Z,Tropical depression,NA,8.7,-145.4,30,1986,EPAC
EP071986,GEORGETTE,8,1986-08-04T18:00:00Z,Tropical depression,NA,8.9,-149,30,1986,EPAC
EP081986,HOWARD,9,1986-08-16T12:00:00Z,Tropical depression,NA,17.3,-104.3,25,1986,EPAC
EP081986,HOWARD,9,1986-08-16T18:00:00Z,Tropical storm,NA,17.8,-105.7,35,1986,EPAC
EP081986,HOWARD,9,1986-08-17T00:00:00Z,Tropical storm,NA,18.3,-107,35,1986,EPAC
EP081986,HOWARD,9,1986-08-17T06:00:00Z,Tropical storm,NA,18.9,-108.4,35,1986,EPAC
EP081986,HOWARD,9,1986-08-17T12:00:00Z,Tropical storm,NA,19.7,-109.8,35,1986,EPAC
EP081986,HOWARD,9,1986-08-17T18:00:00Z,Tropical storm,NA,20.6,-111.3,35,1986,EPAC
EP081986,HOWARD,9,1986-08-18T00:00:00Z,Tropical storm,NA,21.6,-112.7,35,1986,EPAC
EP081986,HOWARD,9,1986-08-18T06:00:00Z,Tropical depression,NA,22.4,-114,25,1986,EPAC
EP081986,HOWARD,9,1986-08-18T12:00:00Z,Tropical depression,NA,23.2,-115.2,20,1986,EPAC
EP091986,ISIS,18,1986-08-19T18:00:00Z,Tropical depression,NA,15.4,-114,25,1986,EPAC
EP091986,ISIS,18,1986-08-20T00:00:00Z,Tropical depression,NA,15.5,-115,25,1986,EPAC
EP091986,ISIS,18,1986-08-20T06:00:00Z,Tropical depression,NA,15.8,-116,30,1986,EPAC
EP091986,ISIS,18,1986-08-20T12:00:00Z,Tropical storm,NA,16,-117.5,35,1986,EPAC
EP101986,JAVIER,44,1986-08-20T12:00:00Z,Tropical depression,NA,10,-97.2,30,1986,EPAC
EP091986,ISIS,18,1986-08-20T18:00:00Z,Tropical storm,NA,16.4,-118.8,35,1986,EPAC
